"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.853","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","HGM11575","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.862","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.889","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","UMGS1670","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.893","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.898","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","UMGS1688","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.917","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_sp002161285"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.919","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A_sp002159835"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.946","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.950","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.982","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.990","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.991","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","CABKMX01","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.998","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.999","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unidentified","Unidentified"
